p1_x,p1_y,p1_x_speed,p1_y_speed,p1_gravity,p1_dir,p1_left,p1_right,p1_up,p1_down,p1_a,p1_b,p1_c,p1_d,p1_ab,p1_bc,p1_comb,p1_hp,p1_spirit,p1_untech,p1_card,p2_x,p2_y,p2_x_speed,p2_y_speed,p2_gravity,p2_dir,p2_left,p2_right,p2_up,p2_down,p2_a,p2_b,p2_c,p2_d,p2_ab,p2_bc,p2_comb,p2_hp,p2_spirit,p2_untech,p2_card
364.5,0.0,6.0,0.0,0.0,4294967041,False,True,False,False,0,0,0,0,0,0,0,10000,1000,0,0,1036.1002197265625,279.60003662109375,-2.6999998092651367,0.20000000298023224,0.0,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0
376.5,0.0,6.0,0.0,0.0,4294967041,False,True,False,False,0,0,0,0,0,0,0,10000,1000,0,0,1041.5003662109375,280.00006103515625,-2.6999998092651367,0.20000000298023224,0.0,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0
376.5,0.0,0.0,0.0,0.0,4294967041,False,True,False,False,0,0,0,3,0,0,0,10000,1000,0,0,1049.6005859375,280.60009765625,-2.6999998092651367,0.20000000298023224,0.0,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0
391.5,0.0,15.0,0.0,0.0,4294967041,False,True,False,False,0,0,0,6,0,0,0,10000,1000,0,0,1057.7008056640625,281.20013427734375,-2.6999998092651367,0.20000000298023224,0.0,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0
432.0,0.0,12.75,0.0,0.0,4294967041,False,True,False,False,0,0,0,9,0,0,0,10000,1000,0,0,1065.801025390625,281.8001708984375,-2.6999998092651367,0.20000000298023224,0.0,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,1000,0,0
466.25,0.0,11.0,0.0,0.0,4294967041,False,True,False,False,0,0,0,12,0,0,0,10000,1000,0,0,1071.7412109375,282.2402038574219,-0.5399999618530273,0.04000000283122063,0.0,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,800,0,0
499.25,0.0,11.0,0.0,0.0,4294967041,False,True,False,False,0,0,0,15,0,0,0,10000,1000,0,0,1073.361328125,282.3602294921875,-0.5399999618530273,0.04000000283122063,0.0,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,800,0,0
532.25,0.0,11.0,0.0,0.0,4294967041,False,True,False,False,0,0,0,18,0,0,0,10000,1000,0,0,1074.9814453125,282.4802551269531,-0.5399999618530273,0.04000000283122063,0.0,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,800,0,0
565.25,0.0,11.0,0.0,0.0,4294967041,False,True,False,False,0,0,0,21,0,0,0,10000,1000,0,0,1076.6015625,282.60028076171875,-0.5399999618530273,0.04000000283122063,0.0,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,800,0,0
587.25,0.0,11.0,0.0,0.0,4294967041,False,True,False,False,0,0,0,23,0,0,0,10000,1000,0,0,1077.681640625,282.6802978515625,-0.5399999618530273,0.04000000283122063,0.0,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,800,0,0
620.25,0.0,11.0,0.0,0.0,4294967041,False,True,True,False,0,0,0,0,0,0,0,10000,1000,0,0,1079.3017578125,282.8003234863281,-0.5399999618530273,0.04000000283122063,0.0,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,800,0,0
652.25,15.0,10.0,15.0,0.699999988079071,4294967041,False,True,True,False,0,0,0,0,0,0,0,10000,1000,0,0,1080.921875,282.92034912109375,-0.5399999618530273,0.04000000283122063,0.0,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,800,0,0
682.25,55.80000305175781,10.0,12.90000057220459,0.699999988079071,4294967041,False,True,False,False,0,0,0,0,0,0,0,10000,1000,0,0,1082.5419921875,283.0403747558594,-0.5399999618530273,0.04000000283122063,0.0,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,800,0,0
712.25,90.30001831054688,10.0,10.80000114440918,0.699999988079071,4294967041,False,True,False,False,0,0,0,0,0,0,0,10000,1000,0,0,1084.162109375,283.160400390625,-0.5399999618530273,0.04000000283122063,0.0,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,600,0,0
742.25,118.50003051757812,10.0,8.70000171661377,0.699999988079071,4294967041,False,True,False,True,0,0,0,0,0,0,0,10000,1000,0,0,1085.7822265625,283.2804260253906,-0.5399999618530273,0.04000000283122063,0.0,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,600,0,0
772.25,140.40005493164062,10.0,6.600002288818359,0.699999988079071,4294967041,False,True,False,True,0,0,0,0,0,0,0,10000,1000,0,0,1087.40234375,283.40045166015625,-0.5399999618530273,0.04000000283122063,0.0,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,600,0,0
782.25,146.30006408691406,0.0,0.0,0.6000000238418579,4294967041,False,True,False,True,0,0,0,2,0,0,0,10000,1000,0,0,1089.0224609375,283.5204772949219,-0.5399999618530273,0.04000000283122063,0.0,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,600,0,0
782.25,146.30006408691406,0.0,0.0,0.6000000238418579,4294967041,False,True,False,True,0,0,0,4,0,0,0,10000,1000,0,0,1090.1025390625,283.6004943847656,-0.5399999618530273,0.04000000283122063,0.0,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,600,0,0
789.6746215820312,138.87545776367188,7.424621105194092,-7.424620628356934,0.6000000238418579,4294967041,False,True,False,True,0,0,0,7,0,0,0,10000,990,0,0,1091.72265625,283.72052001953125,-0.5399999618530273,0.04000000283122063,0.0,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,600,0,0
813.2213745117188,115.32881164550781,8.061017990112305,-8.061017036437988,0.6000000238418579,4294967041,False,True,False,True,0,0,0,10,0,0,0,10000,960,0,0,1093.3427734375,283.8405456542969,-0.5399999618530273,0.04000000283122063,0.0,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,600,0,0
838.4651489257812,90.08511352539062,8.485281944274902,-8.485280990600586,0.6000000238418579,4294967041,False,True,False,True,0,0,0,13,0,0,0,10000,930,0,0,1094.962890625,283.9605712890625,-0.5399999618530273,0.04000000283122063,0.0,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,600,0,0
863.9210205078125,64.62928771972656,8.485281944274902,-8.485280990600586,0.6000000238418579,4294967041,False,True,False,True,0,0,0,16,0,0,0,10000,900,0,0,1096.5830078125,284.0805969238281,-0.5399999618530273,0.04000000283122063,0.0,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,600,0,0
889.4506225585938,39.24782180786133,8.559005737304688,-8.410910606384277,0.6000000238418579,4294967041,False,True,False,False,0,0,0,0,0,0,0,10000,870,0,0,1098.203125,284.20062255859375,-0.5399999618530273,0.04000000283122063,0.0,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,600,0,0
915.127685546875,10.415094375610352,8.559005737304688,-10.210908889770508,0.6000000238418579,4294967041,False,False,False,False,0,0,0,0,0,0,0,10000,888,0,0,1099.8232421875,284.3206481933594,-0.5399999618530273,0.04000000283122063,0.0,444560383,False,False,False,False,0,0,0,0,0,0,0,10000,600,0,0
